speaker,language,sex,duration,age,language_long,language_family,speech_rate,info_rate
CAT_F4(Mi),CAT,F,15.92,28,Catalan,Indo-European,7.349246231155779,40.347361809045225
CAT_F4(Mi),CAT,F,16.79,28,Catalan,Indo-European,7.087552114353782,38.91066110780226
CAT_F4(Mi),CAT,F,17.65,28,Catalan,Indo-European,7.195467422096318,39.50311614730879
CAT_F4(Mi),CAT,F,13.06,28,Catalan,Indo-European,7.120980091883614,39.094180704441044
CAT_F5(An),CAT,F,13.81,39,Catalan,Indo-European,6.3721940622737145,34.983345401882694
CAT_F5(An),CAT,F,18.68,39,Catalan,Indo-European,6.316916488222698,34.679871520342616
CAT_F5(An),CAT,F,22.53,39,Catalan,Indo-European,6.1695517088326675,33.870838881491345
CAT_F5(An),CAT,F,23.33,39,Catalan,Indo-European,6.0865837976853845,33.41534504929276
CAT_F5(An),CAT,F,14.95,39,Catalan,Indo-European,6.622073578595318,36.355183946488296
CAT_F5(An),CAT,F,19.63,39,Catalan,Indo-European,6.673458991339786,36.637289862455425
CAT_F5(An),CAT,F,12.26,39,Catalan,Indo-European,6.6068515497553015,36.27161500815661
CAT_F5(An),CAT,F,20.19,39,Catalan,Indo-European,6.042595344229817,33.1738484398217
CAT_F5(An),CAT,F,19.25,39,Catalan,Indo-European,6.597402597402597,36.21974025974026
CAT_F5(An),CAT,F,18.83,39,Catalan,Indo-European,6.266595857673925,34.40361125862985
CAT_F5(An),CAT,F,22.36,39,Catalan,Indo-European,5.858676207513417,32.16413237924866
CAT_F5(An),CAT,F,20.24,39,Catalan,Indo-European,5.780632411067194,31.735671936758898
CAT_F5(An),CAT,F,18.79,39,Catalan,Indo-European,6.3331559340074515,34.76902607770091
CAT_F5(An),CAT,F,19.39,39,Catalan,Indo-European,6.549767921609076,35.95822588963383
CAT_F5(An),CAT,F,15.4,39,Catalan,Indo-European,6.038961038961038,33.1538961038961
CAT_M1(Xa),CAT,M,11.9,28,Catalan,Indo-European,7.394957983193277,40.59831932773109
CAT_M1(Xa),CAT,M,15.66,28,Catalan,Indo-European,7.535121328224776,41.367816091954026
CAT_M1(Xa),CAT,M,18,28,Catalan,Indo-European,7.722222222222222,42.395
CAT_M1(Xa),CAT,M,19.99,28,Catalan,Indo-European,7.1035517758879445,38.998499249624814
CAT_M1(Xa),CAT,M,13.39,28,Catalan,Indo-European,7.393577296489918,40.590739357729646
CAT_M1(Xa),CAT,M,17.13,28,Catalan,Indo-European,7.647402218330415,41.98423817863398
CAT_M1(Xa),CAT,M,10.56,28,Catalan,Indo-European,7.670454545454545,42.11079545454545
CAT_M1(Xa),CAT,M,17.42,28,Catalan,Indo-European,7.003444316877152,38.44890929965557
CAT_M1(Xa),CAT,M,16.36,28,Catalan,Indo-European,7.762836185819071,42.6179706601467
CAT_M1(Xa),CAT,M,15.67,28,Catalan,Indo-European,7.530312699425654,41.34141671984684
CAT_M1(Xa),CAT,M,17.38,28,Catalan,Indo-European,7.537399309551208,41.38032220943614
